,0,label
2983,tamilnadu dmk parti leader selva kumar kick ladi doctor duti forward video group punish,fake
9449,   29 covid 19  138              c         pmoindia mlasudhakar drharshvardhan httpstcod 3mryulqvz httpstcojgyoot 8xni,fake
3761,as today 1549 dedic covid 19 hospit 3092 dedic covid health centr 11555 covid 19 care centr 12949 quarantinecentr covid 19 covid 19 covidupd coronaupd coronaviru coronavirusindia coronavirusupd coronaviruspandem httpstco 6vawrqi0ph,real
6050,c4etech thatamartya the thing dehradun recov 1 mix betadin glass water gargl thi inhibit spread viru throat lung 2 take immun tablet like coronil keep system strong god bless youtc ash,fake
10048,coupl england establish relationship longer social distanc live togeth govern confirm httpstco 4megjea0ud,real
3885,say coronaviru patent expir sudden outbreak despit media fearmong alreadi vaccin avail,fake
2436,bancheneproduct serum institut india manufactur partnership astrazeneca produc oxford univers  covishield vaccin alreadi deni report amp said would confirm avail offici vaccin proven immunogen efficaci,real
2631,hospit covid 19 patient undergo mri httpstcolqlwlnct 6,real
1753,govrondesanti claim i would press event may i would never ask coronaviru press confer transcript show claim fals httpstco 2l2qxh0m45 httpstcoxkrpcvqjxc,fake
7462,stop eat bakeri itemsit strictli advis eat bakeri item washabl get infect viru easilystayhom staysav edhi edhifound corona coronaviru who,fake
2899,no state current track contain covid vermont main fell yellow yellowcircl slow diseas growth green greencircl track contain covid due increas daili new case,real
948,dure lock period fantast natur sceneri sea beach near chandrabhaga puri konark marin drive road,fake
6397,who state possibl coronaviru transmit aerosol,fake
3737, thi viru ha a cure  doctor say hydroxychloroquin not onli cure but also prevent covid 19 thi viru cure call hydroxychloroquin zinc zithromax,fake
700,no wear face mask caus carbon dioxid toxic dont believ misinform internet read coronacheck instead httpstcowibedynkak coronavirusfact datoscoronaviru httpstcohslybusw 4i,fake
7821,acc mohfwindia actual caseload covid 19 803552 total 3387500 covid posit case as per strategi success keep less mortal compar account covid 19 fatalityr 182 amp recoveryr 7628 12 httpstcojw 4wnqnqpt,real
3232,seneg doctor come serum coronaviru,fake
389,the chairman republican parti texa said recoveri rate covid 19 999 texa that  fals politifacttexa httpstcogmuxovt 2dh httpstcoltihwpchjm,fake
4043,cumul hospit 22303 still larg driven new york california second hospit louisiana third,real
1444,updat minhealthnz there 2 new case covid 19 report nz involv peopl recent return oversea manag isol facil there continu case commun,real
913,the state see recordhigh averag alabama arizona california florida nevada north carolina oklahoma oregon south carolina texa httpstco 1mwejqantf,real
579,pictur hospit santo andr brazil it say caption despit covid 19 crisi hospit patient,fake
10401,a new cdcmmwr report show young previous healthi adult take long time recov covid 19 the studi found nearli 1 5 adult age 1834 milder outpati covid 19 return usual health 1421 day httpstcownrf 5tmdzh httpstcoo 3gtrnwhtl,real
195,studi covid like mix seattl  earli 2020 flu season httpstcot 6s1hdb0mh,real
7961,thi week focu ramp test countri focus 2 key group 1 contact case fever amp respiratori tract symptom contact 2 peopl fever amp respiratori tract symptom unknown caus thread dg chikwei goal weekbackhandindexpointingdowndarkskinton httpstcorfu 6ftpjbe,real
2306,russia  presid vladimir putin claim countri develop first coronaviru vaccin name sputnik v india record 53000 new case take countri  overal confirm case talli 226 lakh covid 19 russianvaccin vaccino coronaviru httpstcojnteiynz 0h,fake
4031,american coronaviru vaccin kill five ukrainian ,fake
4902,household cure covid 19  la trump httpstcojzlaspi 5rz donaldtrump covid 19 medicin,fake
6037,coronaviru pm urg take blindingli obviou covid action today halt viru spike httpstcob 0d21rv7il,real
3362,person type a blood prone coronaviru,fake
8794,the uncomfort truth donald trump left america expos vulner pandem he ignor warn health expert intellig agenc put trust china leader instead now pay price let explain got httpstcoesvcagki 9v,fake
4687,a 9minut viral video woman claim india enter stage 3 covid 19 she claim husband employ major news channel inform pass dr gyani head indian covid 19 team ask peopl stock food medicin babi food one month she also caution peopl armi deploy enforc strict lockdown upcom day,fake
1295,new dure visit state joe biden mistook michigan  covid 19 number militari toll httpstco 9yvulk7ydd httpstcohmo 34sapcb,fake
8069,a polic personnel infect coronaviru bihar hajipur,fake
6201,a methodolog note as weve say continu revis pin way code hospit data the state report two differ number current hospit cumul hospit these unlik number,real
8615,as tuberculosi shape modern covid 19 collect experi stay insid month end influenc architectur  near futur chaykak write httpstcoag 34yzckbu,fake
987,democrat blame covid 19 relat death they control drug viru,fake
6465,updat prime minist covid 19 alert level  the prime minist cabinet agre readi move alert level 2 thursday need safe possibl httpstcomur 8vhi8io,real
4350,nataleedesotel icphhomeless you probabl dont want comput posit state dont data,real
7967,econstandard hcq zinc azithromycindoxycyclin must given viral replic stage covid 19 thi first 57 day ill that whole purpos drug combo onc person reach inflammatori phase  late treat earli save live,fake
6504,covid 19 limit access vital support need fep recoveri httpstcozzfw 0qjnv4,real
9954,prone posit sever covid potenti benefit harm httpstcoyd 4bkhvt9m,real
3822,a news stori italian tv rai prove coronaviru creat lab chines govern,fake
9286,of 2159 peopl left manag isol facil june 916 1313 peopl contact test neg covid 19 800 test leav manag isol remain 513 test departur facil,real
